Date,Tiker,Price
2019-01-07,TIK1,20.570000
2019-01-08,TIK1,20.750000
2019-01-09,TIK1,20.190001
2019-01-10,TIK1,19.740000
2019-01-11,TIK1,20.270000
2019-01-14,TIK1,20.230000
2019-01-15,TIK1,20.379999
2019-01-16,TIK1,19.730000
2019-01-17,TIK1,20.250000
2019-01-18,TIK1,20.770000
2019-01-22,TIK1,19.760000
2019-01-23,TIK1,19.799999
2019-01-24,TIK1,20.850000
2019-01-25,TIK1,21.930000
2019-01-28,TIK1,20.180000
2019-01-29,TIK1,19.250000
2019-01-30,TIK1,23.090000
2019-01-31,TIK1,24.410000
2019-02-01,TIK1,24.510000
2019-02-04,TIK1,24.129999
2019-02-05,TIK1,23.309999
2019-02-06,TIK1,23.260000
2019-02-07,TIK1,22.670000
2019-02-08,TIK1,23.049999
2019-02-11,TIK1,22.959999
2019-02-12,TIK1,22.820000
2019-02-13,TIK1,22.850000
2019-02-14,TIK1,23.129999
2019-02-15,TIK1,23.680000
2019-02-19,TIK1,23.950001
2019-02-20,TIK1,23.950001
2019-02-21,TIK1,23.920000
2019-02-22,TIK1,24.360001
2019-02-25,TIK1,24.709999
2019-02-26,TIK1,24.209999
2019-02-27,TIK1,23.480000
2019-02-28,TIK1,23.530001
2019-03-01,TIK1,23.680000
2019-03-04,TIK1,23.370001
2019-03-05,TIK1,23.500000
2019-03-06,TIK1,22.410000
2019-03-07,TIK1,22.080000
2019-03-08,TIK1,22.010000
2019-03-11,TIK1,22.959999
2019-03-12,TIK1,23.490000
2019-03-13,TIK1,23.379999
2019-03-14,TIK1,22.820000
2019-03-15,TIK1,23.290001
2019-03-18,TIK1,23.250000
2019-03-19,TIK1,26.000000
2019-03-20,TIK1,25.700001
2019-03-21,TIK1,27.889999
2019-03-22,TIK1,26.370001
2019-03-25,TIK1,25.969999
2019-03-26,TIK1,25.690001
2019-03-27,TIK1,24.889999
2019-03-28,TIK1,25.059999
2019-03-29,TIK1,25.520000
2019-04-01,TIK1,26.360001
2019-04-02,TIK1,26.750000
2019-04-03,TIK1,29.020000
2019-04-04,TIK1,29.090000
2019-04-05,TIK1,28.980000
2019-04-08,TIK1,28.530001
2019-04-09,TIK1,27.240000
2019-04-10,TIK1,27.830000
2019-04-11,TIK1,27.790001
2019-04-12,TIK1,27.850000
2019-04-15,TIK1,27.330000
2019-04-16,TIK1,27.930000
2019-04-17,TIK1,27.490000
2019-04-18,TIK1,27.680000
2019-04-22,TIK1,28.180000
2019-04-23,TIK1,27.969999
2019-04-24,TIK1,28.459999
2019-04-25,TIK1,27.660000
2019-04-26,TIK1,27.879999
2019-04-29,TIK1,27.690001
2019-04-30,TIK1,27.629999
2019-05-01,TIK1,26.809999
2019-05-02,TIK1,28.290001
2019-05-03,TIK1,28.219999
2019-05-06,TIK1,27.420000
2019-05-07,TIK1,26.660000
2019-05-08,TIK1,27.090000
2019-05-09,TIK1,27.209999
2019-05-10,TIK1,27.959999
2019-05-13,TIK1,26.240000
2019-05-14,TIK1,27.320000
2019-05-15,TIK1,27.580000
2019-05-16,TIK1,28.010000
2019-05-17,TIK1,27.500000
2019-05-20,TIK1,26.680000
2019-05-21,TIK1,27.350000
2019-05-22,TIK1,27.410000
2019-05-23,TIK1,26.360001
2019-05-24,TIK1,26.440001
2019-05-28,TIK1,29.049999
2019-05-29,TIK1,28.090000
2019-05-30,TIK1,28.030001
